employee_name,department_name
Lucía García,Product
Juan González,Ventas
Camila Ramírez,Product
Valentina Sánchez,Operaciones
Diego Torres,Recursos Humanos
Ana López,Finanzas
Mateo González,Marketing
Gabriel Martínez,Product
Pedro Fernández,Operaciones
Camila Pérez,Marketing
María Martínez,Ingeniería
Gabriel López,Finanzas
Martín Ramírez,Product
Lucas Pérez,Recursos Humanos
Laura Sánchez,Legal
Mateo Fernández,Data
Sofía Martínez,Finanzas
Pedro López,Recursos Humanos
Lucas Ramírez,Soporte
Valentina López,Ingeniería
Camila Pérez,Product
Juan Torres,Finanzas
María Ramírez,Marketing
Sofía Sánchez,Data
Valentina Torres,Recursos Humanos
Juan Pérez,Soporte
Pedro Fernández,Data
Carlos Rodríguez,Soporte
Laura González,Soporte
Laura González,Legal
Mateo González,Finanzas
Lucía García,Ingeniería
Valentina Rodríguez,Recursos Humanos
Gabriel Pérez,Product
Ana González,Recursos Humanos
Ana García,Ventas
Camila Ramírez,Finanzas
Valentina Fernández,Ventas
Laura López,Legal
Camila Rodríguez,Recursos Humanos
Ana García,Finanzas
Ana García,Operaciones
Mateo López,Ventas
Sofía González,Legal
Mateo García,Recursos Humanos
Pedro Pérez,Marketing
Martín García,Operaciones
Ana Martínez,Ingeniería
María Torres,Legal
Valentina Torres,Legal
Gabriel González,Operaciones
Juan López,Product
Mateo García,Product
Ana García,Soporte
Diego Pérez,Recursos Humanos
Ana Pérez,Marketing
Carlos Martínez,Data
Ana Rodríguez,Recursos Humanos
Diego Torres,Operaciones
Lucas González,Product
Ana Rodríguez,Recursos Humanos
Sofía García,Operaciones
Carlos Martínez,Finanzas
Ana Fernández,Marketing
Carlos Sánchez,Operaciones
Camila Ramírez,Marketing
María Pérez,Marketing
Valentina Fernández,Ventas
Gabriel Ramírez,Recursos Humanos
Diego Sánchez,Ingeniería
Mateo Ramírez,Ingeniería
María Rodríguez,Ventas
Valentina González,Finanzas
Ana Sánchez,Marketing
Ana García,Operaciones
Camila López,Operaciones
Pedro Rodríguez,Ingeniería
Valentina Martínez,Finanzas
Camila Fernández,Ventas
Laura González,Data
Juan García,Ingeniería
Sofía Martínez,Legal
Camila Torres,Operaciones
Laura Ramírez,Data
Sofía Martínez,Soporte
María González,Operaciones
Gabriel García,Recursos Humanos
Lucas Pérez,Data
María Rodríguez,Ingeniería
María Sánchez,Data
Juan Fernández,Ingeniería
María Martínez,Legal
Lucas Pérez,Product
Juan Ramírez,Legal
Martín Fernández,Data
Sofía Ramírez,Marketing
Diego Sánchez,Soporte
Martín García,Finanzas
Martín García,Ingeniería
Sofía Fernández,Ingeniería
Lucía García,Recursos Humanos
María Rodríguez,Soporte
Lucas Martínez,Ventas
Diego García,Ventas
Ana Torres,Legal
Valentina Pérez,Legal
Lucas Pérez,Ingeniería
Sofía González,Soporte
Martín García,Ventas
Ana García,Legal
Pedro Sánchez,Operaciones
María Torres,Marketing
Mateo Sánchez,Ventas
María Ramírez,Product
Diego Torres,Operaciones
Martín Rodríguez,Data
Lucas Torres,Legal
Laura Torres,Product
Juan Torres,Ventas
Gabriel González,Recursos Humanos
Lucía Rodríguez,Ventas
Juan Fernández,Legal
Gabriel Martínez,Marketing
Ana López,Product
Lucas Martínez,Ingeniería
Ana Pérez,Operaciones
Diego Rodríguez,Product
Lucía Pérez,Soporte
Lucía Sánchez,Soporte
Diego González,Marketing
Martín Ramírez,Legal
Carlos García,Marketing
Lucas García,Ventas
Ana Sánchez,Ingeniería
Valentina González,Legal
Lucas López,Ingeniería
Juan Sánchez,Ventas
Laura Torres,Operaciones
Gabriel Torres,Product
Lucas Sánchez,Product
Mateo Pérez,Ventas
Camila Ramírez,Recursos Humanos
Pedro Torres,Marketing
Martín Rodríguez,Ingeniería
Laura Martínez,Data
Valentina Sánchez,Operaciones
Martín Ramírez,Soporte
Pedro Fernández,Data
Valentina Ramírez,Legal
Carlos González,Marketing
Pedro Torres,Marketing
Sofía Sánchez,Finanzas
Mateo Fernández,Ventas
Camila Sánchez,Soporte
Lucía Rodríguez,Ingeniería
Camila Rodríguez,Ingeniería
Diego Fernández,Finanzas
Pedro García,Ventas
Sofía Fernández,Ventas
Lucas García,Soporte
Valentina Martínez,Finanzas
Lucía Pérez,Legal
María Fernández,Ventas
Lucía López,Data
Lucas Ramírez,Marketing
Sofía Rodríguez,Ventas
Sofía Fernández,Finanzas
Gabriel García,Ingeniería
Martín López,Operaciones
Valentina González,Product
María Martínez,Operaciones
Valentina García,Finanzas
Martín González,Ingeniería
Valentina Torres,Product
Mateo González,Ingeniería
Lucas Torres,Operaciones
Martín Fernández,Soporte
Laura Sánchez,Recursos Humanos
Juan Ramírez,Finanzas
Gabriel Pérez,Ventas
María López,Legal
Laura Ramírez,Finanzas
María Ramírez,Finanzas
Mateo González,Legal
Diego González,Soporte
Ana Ramírez,Finanzas
Laura Sánchez,Product
Martín López,Ingeniería
María Ramírez,Legal
Laura García,Legal
Pedro González,Data
Juan Rodríguez,Operaciones
Camila López,Marketing
Gabriel López,Finanzas
Gabriel López,Ingeniería
Diego Fernández,Ventas
María López,Product
Martín Pérez,Data
Camila Pérez,Ventas
Valentina Torres,Ventas
Mateo Pérez,Recursos Humanos
Laura Pérez,Product
Sofía López,Recursos Humanos
Ana Rodríguez,Legal
Camila Ramírez,Legal
Carlos Rodríguez,Legal
Carlos López,Ingeniería
Valentina Pérez,Finanzas
Valentina García,Soporte
Sofía Rodríguez,Operaciones
Diego Rodríguez,Operaciones
Lucía Torres,Data
Laura Martínez,Ventas
María Sánchez,Legal
Camila Fernández,Finanzas
María Ramírez,Marketing
Juan Ramírez,Operaciones
María Torres,Recursos Humanos
Laura Pérez,Data
Juan González,Ventas
Carlos López,Marketing
Mateo Torres,Data
Juan García,Product
Lucía Martínez,Legal
Camila López,Operaciones
Carlos Pérez,Ingeniería
María Pérez,Legal
Lucas López,Ingeniería
Pedro García,Operaciones
Diego Ramírez,Data
María Martínez,Ingeniería
Valentina Sánchez,Operaciones
Martín Ramírez,Ventas
Sofía Fernández,Recursos Humanos
Pedro González,Operaciones
Pedro Sánchez,Finanzas
Lucas López,Ventas
Martín Sánchez,Soporte
Sofía Torres,Data
Carlos García,Recursos Humanos
Valentina López,Operaciones
Pedro González,Product
María Martínez,Marketing
Laura García,Finanzas
Mateo Martínez,Ventas
Laura Torres,Soporte
Pedro Rodríguez,Operaciones
Juan Pérez,Ventas
Carlos Fernández,Operaciones
Diego González,Finanzas
Diego Fernández,Recursos Humanos
María Martínez,Recursos Humanos
Sofía Sánchez,Ventas
Gabriel Torres,Legal
Ana González,Finanzas
Valentina Pérez,Marketing
Laura Ramírez,Product
Camila González,Operaciones
Laura González,Data
Valentina García,Soporte
Lucía Rodríguez,Ventas
Mateo Ramírez,Product
María López,Finanzas
Pedro García,Ingeniería
Martín Ramírez,Recursos Humanos
Pedro Sánchez,Ventas
Laura Torres,Operaciones
Juan López,Marketing
Valentina Pérez,Data
Gabriel Fernández,Ingeniería
Valentina Pérez,Legal
Martín López,Marketing
Juan Sánchez,Legal
Carlos González,Soporte
