employee_name,manager_name
Juan López,Carlos Martínez
Valentina Sánchez,Diego Ramírez
Lucas Pérez,Martín López
Lucía González,Diego Ramírez
Laura Rodríguez,Valentina Torres
Gabriel López,Pedro Fernández
Gabriel Sánchez,Carlos Martínez
Diego Rodríguez,Mateo Pérez
Valentina Martínez,Valentina Fernández
Lucas Pérez,Lucas Ramírez
Juan Pérez,Valentina Torres
Pedro Ramírez,Mateo Pérez
Lucas Sánchez,Camila Sánchez
Valentina Ramírez,Valentina Sánchez
Valentina Torres,Camila Sánchez
María González,Mateo Pérez
Gabriel Sánchez,María Torres
Gabriel Torres,Valentina Torres
Juan Fernández,Valentina Sánchez
Gabriel Pérez,Carlos Martínez
Lucía Torres,Camila Sánchez
Carlos García,Pedro García
Pedro García,Sofía Pérez
Sofía Rodríguez,Martín López
Carlos Rodríguez,Diego Sánchez
Gabriel Sánchez,Camila Sánchez
Laura Fernández,Pedro García
Diego Torres,Martín Pérez
Valentina Martínez,Camila Sánchez
Juan Sánchez,Pedro Fernández
Juan Martínez,Valentina Fernández
Valentina Torres,Valentina Fernández
Martín García,Valentina Torres
Laura Fernández,Carlos Martínez
Diego Pérez,Lucía Ramírez
Pedro Torres,Mateo González
Lucía Torres,Martín López
Laura Rodríguez,Diego Ramírez
Diego Pérez,Lucas Ramírez
Laura Torres,María Torres
Lucas García,María Martínez
Mateo Fernández,Pedro Fernández
Valentina López,Valentina Sánchez
Lucas Pérez,Martín Pérez
Camila Pérez,Mateo Rodríguez
Mateo Ramírez,Martín Pérez
Lucas López,Martín López
Sofía Fernández,María Torres
Lucas Fernández,Sofía Pérez
Juan García,Lucas Ramírez
Gabriel Fernández,Sofía Pérez
Lucía Pérez,Lucas Ramírez
Camila Ramírez,Valentina Pérez
Lucía Martínez,Valentina Pérez
Juan Fernández,Diego Sánchez
Laura Pérez,Valentina Sánchez
Valentina Pérez,Valentina Fernández
Gabriel González,Pedro García
Gabriel Torres,Valentina Fernández
Sofía Pérez,Lucas Ramírez
Valentina Ramírez,Pedro Fernández
Martín García,Mateo González
Martín Sánchez,Valentina Torres
Ana Fernández,Mateo Pérez
Mateo López,Sofía Pérez
Mateo García,Diego Sánchez
Martín Sánchez,María Torres
Pedro Pérez,Valentina Fernández
Carlos Martínez,Diego Sánchez
Laura Rodríguez,Diego Ramírez
Pedro Fernández,Mateo Rodríguez
Mateo Pérez,Valentina Pérez
Juan Martínez,Camila Sánchez
Ana García,Lucía Ramírez
Juan López,Valentina Fernández
Carlos López,Martín López
Martín Martínez,Mateo Rodríguez
María Sánchez,Valentina Torres
Pedro Torres,Camila Sánchez
Diego Ramírez,Mateo Pérez
Gabriel Ramírez,Mateo Pérez
Camila Torres,Sofía Pérez
Pedro Rodríguez,Valentina Sánchez
Ana Martínez,Valentina Sánchez
Mateo Torres,Lucas Ramírez
Ana Ramírez,Pedro García
Sofía Sánchez,Valentina Torres
Ana López,Lucas Ramírez
Lucas González,Valentina Sánchez
Ana Rodríguez,Diego Ramírez
Carlos Martínez,Valentina Pérez
Camila Rodríguez,Diego Ramírez
Lucas Martínez,Martín López
Diego Torres,Diego Ramírez
Ana López,Valentina Torres
Diego Martínez,Carlos Martínez
Sofía Pérez,Valentina Fernández
Mateo García,Valentina Pérez
Martín González,Mateo González
Gabriel González,Valentina Torres
Pedro Martínez,Mateo Rodríguez
Laura López,Pedro Fernández
Juan López,Sofía Pérez
Camila Sánchez,Valentina Sánchez
Gabriel Rodríguez,Mateo Pérez
Diego Torres,Mateo González
Lucía Martínez,Carlos Martínez
Lucía García,Lucía Ramírez
Juan González,Mateo Rodríguez
Camila Ramírez,Valentina Pérez
Valentina Sánchez,Lucía Ramírez
Diego Torres,Valentina Torres
Ana López,Mateo González
Mateo González,Valentina Torres
Gabriel Martínez,Valentina Pérez
Pedro Fernández,Pedro Fernández
Camila Pérez,María Martínez
María Martínez,Mateo González
Gabriel López,María Torres
Martín Ramírez,Pedro Fernández
Lucas Pérez,Carlos Martínez
Laura Sánchez,Martín López
Mateo Fernández,Martín Pérez
Sofía Martínez,Mateo Pérez
Pedro López,Sofía Pérez
Lucas Ramírez,Valentina Torres
Valentina López,María Martínez
Camila Pérez,Sofía Pérez
Juan Torres,Diego Ramírez
María Ramírez,Mateo Rodríguez
Sofía Sánchez,Mateo Pérez
Valentina Torres,Valentina Pérez
Juan Pérez,Martín López
Pedro Fernández,Pedro Fernández
Carlos Rodríguez,Pedro García
Laura González,Pedro Fernández
Laura González,Valentina Fernández
Mateo González,Mateo Rodríguez
Lucía García,Pedro García
Valentina Rodríguez,María Torres
Gabriel Pérez,Lucía Ramírez
Ana González,Valentina Torres
Ana García,Lucas Ramírez
Camila Ramírez,Camila Sánchez
Valentina Fernández,Sofía Pérez
Laura López,Martín Pérez
Camila Rodríguez,Camila Sánchez
Ana García,Pedro Fernández
Ana García,Valentina Fernández
Mateo López,Lucas Ramírez
Sofía González,Mateo Rodríguez
Mateo García,María Martínez
Pedro Pérez,Lucía Ramírez
Martín García,Mateo González
Ana Martínez,Martín Pérez
María Torres,Diego Ramírez
Valentina Torres,Mateo Rodríguez
Gabriel González,María Torres
Juan López,Valentina Fernández
Mateo García,Diego Sánchez
Ana García,Mateo Pérez
Diego Pérez,Lucía Ramírez
Ana Pérez,Carlos Martínez
Carlos Martínez,Pedro García
Ana Rodríguez,Lucía Ramírez
Diego Torres,Valentina Torres
Lucas González,Lucas Ramírez
Ana Rodríguez,Mateo González
Sofía García,Valentina Sánchez
Carlos Martínez,Valentina Fernández
Ana Fernández,Diego Sánchez
Carlos Sánchez,Martín López
Camila Ramírez,Lucas Ramírez
María Pérez,Carlos Martínez
Valentina Fernández,Valentina Fernández
Gabriel Ramírez,Mateo Pérez
Diego Sánchez,María Martínez
Mateo Ramírez,Camila Sánchez
María Rodríguez,Sofía Pérez
Valentina González,Sofía Pérez
Ana Sánchez,Martín Pérez
Ana García,Mateo Rodríguez
Camila López,Mateo Pérez
Pedro Rodríguez,Diego Sánchez
Valentina Martínez,Diego Sánchez
Camila Fernández,Diego Ramírez
Laura González,Valentina Fernández
Juan García,Lucía Ramírez
Sofía Martínez,Camila Sánchez
Camila Torres,Diego Ramírez
Laura Ramírez,Valentina Sánchez
Sofía Martínez,Valentina Pérez
María González,Pedro García
Gabriel García,Valentina Torres
Lucas Pérez,Valentina Torres
María Rodríguez,Mateo Rodríguez
María Sánchez,Valentina Sánchez
Juan Fernández,Carlos Martínez
María Martínez,Martín López
Lucas Pérez,Pedro Fernández
Juan Ramírez,Mateo Pérez
Martín Fernández,Pedro Fernández
Sofía Ramírez,Diego Sánchez
Diego Sánchez,Diego Ramírez
Martín García,Valentina Torres
Martín García,Valentina Sánchez
Sofía Fernández,Mateo Rodríguez
Lucía García,Valentina Pérez
María Rodríguez,Camila Sánchez
Lucas Martínez,Mateo Pérez
Diego García,Pedro García
Ana Torres,Mateo Pérez
Valentina Pérez,Valentina Fernández
Lucas Pérez,Lucía Ramírez
Sofía González,Valentina Pérez
Martín García,Lucía Ramírez
Ana García,Carlos Martínez
Pedro Sánchez,Valentina Pérez
María Torres,Pedro Fernández
Mateo Sánchez,Pedro Fernández
María Ramírez,Lucas Ramírez
Diego Torres,Lucía Ramírez
Martín Rodríguez,Sofía Pérez
Lucas Torres,Valentina Pérez
Laura Torres,Lucía Ramírez
Juan Torres,Mateo Rodríguez
Gabriel González,Martín López
Lucía Rodríguez,María Martínez
Juan Fernández,Mateo Pérez
Gabriel Martínez,Valentina Torres
Ana López,Mateo Rodríguez
Lucas Martínez,Mateo Pérez
Ana Pérez,Valentina Torres
Diego Rodríguez,Martín Pérez
Lucía Pérez,Camila Sánchez
Lucía Sánchez,Diego Sánchez
Diego González,Lucas Ramírez
Martín Ramírez,María Martínez
Carlos García,María Martínez
Lucas García,Sofía Pérez
Ana Sánchez,Martín López
Valentina González,Valentina Fernández
Lucas López,Mateo González
Juan Sánchez,Diego Sánchez
Laura Torres,Diego Sánchez
Gabriel Torres,Diego Ramírez
Lucas Sánchez,Diego Ramírez
Mateo Pérez,Valentina Pérez
Camila Ramírez,María Torres
Pedro Torres,Valentina Sánchez
Martín Rodríguez,Martín Pérez
Laura Martínez,Pedro García
Valentina Sánchez,Valentina Fernández
Martín Ramírez,Mateo González
Pedro Fernández,Sofía Pérez
Valentina Ramírez,Valentina Fernández
Carlos González,Mateo González
Pedro Torres,Mateo Pérez
Sofía Sánchez,Mateo Rodríguez
Mateo Fernández,Martín López
Camila Sánchez,Pedro García
Lucía Rodríguez,Mateo Rodríguez
Camila Rodríguez,Valentina Fernández
Diego Fernández,Martín Pérez
Pedro García,Carlos Martínez
Sofía Fernández,Valentina Sánchez
Lucas García,Mateo Pérez
Valentina Martínez,Mateo González
Lucía Pérez,María Martínez
María Fernández,Mateo Rodríguez
Lucía López,Valentina Sánchez
Lucas Ramírez,Diego Sánchez
Sofía Rodríguez,Mateo Rodríguez
Sofía Fernández,Valentina Fernández
Gabriel García,Valentina Pérez
Martín López,Camila Sánchez
Valentina González,Mateo Pérez
María Martínez,María Martínez
Valentina García,Martín López
Martín González,Camila Sánchez
Valentina Torres,Mateo Rodríguez
Mateo González,Carlos Martínez
Lucas Torres,Sofía Pérez
Martín Fernández,Valentina Pérez
Laura Sánchez,Martín Pérez
Juan Ramírez,Diego Sánchez
Gabriel Pérez,Mateo Rodríguez
María López,Valentina Fernández
Laura Ramírez,Lucas Ramírez
María Ramírez,Mateo Rodríguez
Mateo González,Valentina Pérez
Diego González,Valentina Sánchez
Ana Ramírez,Pedro García
Laura Sánchez,Martín López
Martín López,Camila Sánchez
María Ramírez,Mateo González
Laura García,Camila Sánchez
Pedro González,Martín Pérez
Juan Rodríguez,Pedro Fernández
Camila López,Mateo González
Gabriel López,Lucía Ramírez
Gabriel López,María Torres
Diego Fernández,Valentina Sánchez
María López,Valentina Torres
Martín Pérez,Carlos Martínez
Camila Pérez,Lucía Ramírez
Valentina Torres,Pedro García
Mateo Pérez,Valentina Torres
Laura Pérez,Mateo González
Sofía López,Martín López
Ana Rodríguez,María Torres
Camila Ramírez,Lucas Ramírez
Carlos Rodríguez,Lucía Ramírez
Carlos López,Lucas Ramírez
Valentina Pérez,Mateo Pérez
Valentina García,Mateo González
Sofía Rodríguez,Valentina Pérez
Diego Rodríguez,Carlos Martínez
Lucía Torres,María Martínez
Laura Martínez,María Martínez
María Sánchez,Mateo Pérez
Camila Fernández,María Martínez
María Ramírez,Camila Sánchez
Juan Ramírez,Valentina Fernández
María Torres,Pedro García
Laura Pérez,Sofía Pérez
Juan González,Valentina Torres
Carlos López,Diego Ramírez
Mateo Torres,Mateo González
Juan García,Lucas Ramírez
Lucía Martínez,Pedro García
Camila López,Martín Pérez
Carlos Pérez,Sofía Pérez
María Pérez,Sofía Pérez
Lucas López,Pedro Fernández
Pedro García,Martín López
Diego Ramírez,Valentina Sánchez
María Martínez,Valentina Torres
Valentina Sánchez,Lucía Ramírez
Martín Ramírez,Pedro Fernández
Sofía Fernández,Martín Pérez
Pedro González,Valentina Pérez
Pedro Sánchez,Valentina Torres
Lucas López,Lucía Ramírez
Martín Sánchez,Lucía Ramírez
Sofía Torres,Mateo Rodríguez
Carlos García,Martín Pérez
Valentina López,Carlos Martínez
Pedro González,Mateo González
María Martínez,Martín López
Laura García,Camila Sánchez
Mateo Martínez,Mateo Pérez
Laura Torres,Diego Ramírez
Pedro Rodríguez,Lucas Ramírez
Juan Pérez,Diego Ramírez
Carlos Fernández,Diego Sánchez
Diego González,Valentina Pérez
Diego Fernández,María Martínez
María Martínez,Martín Pérez
Sofía Sánchez,Valentina Torres
Gabriel Torres,María Torres
Ana González,Sofía Pérez
Valentina Pérez,Martín Pérez
Laura Ramírez,Lucía Ramírez
Camila González,Diego Sánchez
Laura González,Lucía Ramírez
Valentina García,María Martínez
Lucía Rodríguez,Mateo Rodríguez
Mateo Ramírez,Martín López
María López,Carlos Martínez
Pedro García,Sofía Pérez
Martín Ramírez,Carlos Martínez
Pedro Sánchez,Valentina Fernández
Laura Torres,Pedro García
Juan López,Mateo Pérez
Valentina Pérez,Mateo Pérez
Gabriel Fernández,Diego Sánchez
Valentina Pérez,Pedro García
Martín López,Martín Pérez
Juan Sánchez,Mateo Pérez
Carlos González,Valentina Fernández
Pedro García, 
Valentina Fernández, 
Martín Pérez, 
Sofía Pérez, 
María Torres, 
Mateo Rodríguez, 
