employee_name,department_name,base_salary,salary_date
Pedro Torres,Marketing,32837,2015-05-04
Lucas Torres,Operaciones,55965,2018-10-19
María Ramírez,Legal,70908,2023-01-04
Laura García,Legal,94341,2020-10-20
Carlos López,Ingeniería,107103,2018-05-06
Sofía Fernández,Recursos Humanos,109925,2015-03-30
Camila González,Operaciones,65851,2016-02-25
Mateo González,Operaciones,52074,2021-10-22
Martín López,Soporte,52500,2023-08-24
Pedro García,Marketing,60925,2015-04-29
Carlos García,Recursos Humanos,101931,2021-09-28
Camila García,Product,34232,2015-08-08
Pedro Torres,Data,56852,2018-02-23
Pedro Martínez,Recursos Humanos,124353,2023-06-02
Lucas Ramírez,Legal,74758,2022-12-10
María Fernández,Operaciones,103957,2015-05-04
Lucas Pérez,Ventas,50135,2020-02-22
Valentina Torres,Marketing,48866,2017-05-08
Pedro Torres,Product,98546,2017-12-07
Martín Sánchez,Ingeniería,63956,2022-05-09
Pedro Martínez,Legal,105104,2019-10-20
Camila Pérez,Marketing,82037,2015-09-08
Gabriel López,Finanzas,120947,2023-02-02
Pedro López,Recursos Humanos,104254,2018-07-09
Carlos Rodríguez,Soporte,89070,2019-07-29
Valentina Rodríguez,Recursos Humanos,88955,2015-01-13
Ana García,Operaciones,42982,2023-06-27
Ana García,Soporte,141919,2023-03-02
María Rodríguez,Ventas,442835,2023-11-04
Ana García,Operaciones,63724,2023-02-07
Juan García,Ingeniería,40505,2015-11-04
Laura Ramírez,Data,54123,2021-08-23
María González,Operaciones,52515,2016-07-26
Gabriel García,Recursos Humanos,84868,2022-05-15
Juan Fernández,Ingeniería,89122,2015-10-16
Ana López,Product,51133,2017-12-09
Sofía Fernández,Finanzas,44944,2015-06-07
Mateo González,Ingeniería,54317,2016-09-22
Juan Rodríguez,Operaciones,48444,2017-03-06
Carlos Rodríguez,Legal,102553,2018-10-01
Martín Ramírez,Ventas,92601,2020-04-30
Valentina López,Operaciones,35672,2017-12-26
Diego González,Finanzas,44301,2016-10-31
Lucas Ramírez,Ventas,82141,2018-01-11
Ana López,Ventas,51737,2016-02-13
Juan García,Ventas,88268,2016-06-27
Juan Ramírez,Operaciones,77042,2018-01-20
Juan García,Recursos Humanos,52212,2016-05-31
Laura López,Ventas,92889,2020-04-08
Lucía González,Data,75128,2015-05-10
Valentina Ramírez,Legal,112252,2020-05-01
Valentina Martínez,Finanzas,49551,2023-02-04
Gabriel González,Product,129742,2023-09-28
Mateo González,Marketing,101433,2018-03-02
Lucas Ramírez,Soporte,142955,2016-02-13
Camila Pérez,Product,134762,2019-05-28
Juan Pérez,Soporte,61675,2019-12-29
Camila Ramírez,Finanzas,64291,2021-08-29
Mateo López,Ventas,124445,2022-03-05
Valentina Torres,Legal,68308,2015-05-22
Juan López,Product,100284,2022-07-25
Camila Fernández,Ventas,72022,2021-11-15
Sofía Ramírez,Marketing,290434,2023-10-05
Ana Torres,Legal,94318,2019-01-27
Gabriel González,Recursos Humanos,62593,2019-05-15
Martín González,Ingeniería,103201,2017-03-08
Valentina Torres,Product,69398,2018-02-27
Laura Sánchez,Recursos Humanos,48868,2021-04-30
Diego González,Soporte,81939,2019-08-24
Martín López,Ingeniería,89058,2023-02-05
Valentina García,Soporte,86676,2023-07-06
Juan García,Product,48575,2017-02-28
Laura Ramírez,Product,109301,2023-12-05
Lucía Ramírez,Operaciones,316318,2020-12-29
Mateo García,Soporte,90248,2020-02-23
Pedro López,Finanzas,457548,2024-04-02
Camila Rodríguez,Marketing,118591,2018-08-10
María López,Operaciones,77814,2021-03-22
Carlos Pérez,Product,66987,2021-01-23
Gabriel Fernández,Marketing,39111,2018-04-01
Pedro Sánchez,Ingeniería,85056,2016-07-01
Martín Fernández,Product,73972,2018-09-29
Valentina Fernández,Finanzas,46691,2024-05-17
Carlos Rodríguez,Soporte,58520,2017-12-19
Pedro Pérez,Marketing,51301,2017-08-08
Camila Rodríguez,Recursos Humanos,60915,2015-06-08
Juan López,Data,48787,2017-12-11
Diego Torres,Recursos Humanos,92255,2019-06-09
Laura Sánchez,Legal,95872,2022-12-21
Sofía Martínez,Finanzas,383864,2021-06-24
Juan Torres,Finanzas,40431,2017-01-23
Sofía Sánchez,Data,69794,2020-03-09
Laura González,Legal,60954,2020-02-11
Mateo Ramírez,Ingeniería,223569,2022-10-15
Martín Rodríguez,Data,115948,2020-10-14
Juan Sánchez,Ventas,38767,2023-06-29
Camila Sánchez,Soporte,55212,2016-06-12
Lucas García,Soporte,46561,2017-07-10
Lucía López,Data,52181,2018-10-07
Sofía Rodríguez,Ventas,70450,2022-06-19
Gabriel García,Ingeniería,71262,2020-02-16
Gabriel Pérez,Ventas,126637,2016-05-30
Mateo Pérez,Recursos Humanos,33359,2020-08-07
Valentina Pérez,Finanzas,43483,2018-02-06
Martín Sánchez,Soporte,54434,2015-05-12
María Martínez,Recursos Humanos,125062,2018-03-03
Martín Pérez,Marketing,68194,2021-08-14
Mateo Rodríguez,Marketing,93382,2022-03-03
Carlos Torres,Ingeniería,100538,2016-11-13
Diego Fernández,Operaciones,63138,2019-01-11
Diego López,Ingeniería,39871,2019-09-19
Mateo García,Marketing,113350,2023-12-08
Juan Sánchez,Finanzas,103872,2021-12-07
Lucas López,Product,140630,2019-10-24
Lucía García,Operaciones,54059,2023-10-12
Gabriel López,Soporte,38333,2021-06-28
Laura Rodríguez,Ventas,83751,2022-05-28
Carlos García,Legal,67583,2021-09-18
Diego Torres,Data,46090,2023-12-15
Martín García,Marketing,52115,2020-09-16
Camila Pérez,Recursos Humanos,26769,2020-05-10
Gabriel Torres,Data,54786,2017-07-03
Mateo García,Soporte,42681,2015-02-15
Camila Torres,Legal,67347,2015-07-22
Carlos Martínez,Marketing,56403,2021-09-16
Martín González,Product,85955,2022-11-21
María Pérez,Marketing,56975,2023-03-19
Valentina Martínez,Finanzas,100463,2019-08-25
Sofía Martínez,Soporte,53416,2023-08-05
Lucas Martínez,Ventas,48613,2020-12-09
Mateo Sánchez,Ventas,308706,2015-08-15
Diego González,Marketing,53815,2016-12-01
Lucas López,Ingeniería,59299,2016-06-01
Martín Rodríguez,Ingeniería,50828,2024-05-13
Gabriel López,Finanzas,51495,2015-05-06
Sofía Rodríguez,Operaciones,50163,2016-07-18
Carlos López,Marketing,290701,2018-06-05
Camila López,Operaciones,58371,2019-01-06
Pedro González,Operaciones,51391,2015-10-25
Diego Fernández,Recursos Humanos,85908,2018-08-15
Mateo Ramírez,Product,112952,2015-04-05
Juan Sánchez,Legal,44101,2020-11-15
Pedro García,Product,161648,2020-10-02
Lucía Pérez,Ventas,45007,2019-12-26
Laura Martínez,Operaciones,51402,2018-07-24
Valentina Sánchez,Soporte,32710,2020-01-13
Carlos García,Recursos Humanos,45462,2018-05-06
Laura Rodríguez,Recursos Humanos,105296,2016-11-22
Ana López,Legal,49789,2021-03-15
Laura López,Data,60378,2020-04-05
Lucía Martínez,Finanzas,128497,2016-04-08
Lucía García,Product,26965,2024-05-25
Gabriel Pérez,Product,71948,2020-05-06
Carlos Sánchez,Operaciones,39831,2018-08-11
Ana Sánchez,Marketing,44738,2024-04-25
Camila López,Operaciones,299591,2019-07-30
Sofía González,Soporte,107058,2016-06-16
Ana Pérez,Operaciones,84442,2018-01-09
Diego Rodríguez,Product,133174,2019-05-04
Carlos González,Marketing,45132,2023-12-21
Pedro García,Ventas,41395,2020-06-04
Pedro González,Data,55823,2019-01-14
Camila Ramírez,Legal,54118,2019-04-30
Laura Torres,Operaciones,111182,2019-04-01
Pedro Torres,Legal,26923,2020-12-17
Juan González,Finanzas,39216,2017-09-05
Gabriel Sánchez,Product,81540,2018-11-26
Juan Fernández,Operaciones,93937,2021-11-29
Valentina Torres,Data,34055,2021-05-20
Mateo Fernández,Operaciones,114001,2019-03-15
Valentina Pérez,Data,68995,2023-11-26
Carlos Martínez,Recursos Humanos,52601,2016-02-23
María Sánchez,Product,42147,2020-01-29
Pedro Rodríguez,Marketing,70260,2016-07-09
Lucía García,Ingeniería,54351,2021-09-26
Mateo García,Recursos Humanos,444498,2020-02-05
Diego Pérez,Recursos Humanos,72222,2022-03-22
Lucas Pérez,Ingeniería,112476,2021-11-05
Gabriel Martínez,Marketing,76252,2019-03-01
Valentina Sánchez,Operaciones,129029,2021-04-25
Martín Ramírez,Soporte,83278,2020-09-09
María Fernández,Ventas,102903,2019-11-23
Gabriel López,Ingeniería,63700,2017-10-09
Diego Rodríguez,Operaciones,103903,2021-08-29
Juan González,Ventas,102960,2018-08-18
Diego Ramírez,Data,50299,2023-10-05
María Martínez,Marketing,148907,2016-12-21
Pedro Rodríguez,Operaciones,94886,2018-10-28
Valentina Pérez,Data,94406,2015-03-29
Valentina Fernández,Product,66879,2022-12-08
Mateo Sánchez,Operaciones,28604,2023-08-07
Camila Pérez,Finanzas,41376,2016-06-26
Carlos López,Finanzas,35193,2023-10-25
Valentina Rodríguez,Finanzas,414991,2015-08-28
Carlos Torres,Soporte,43600,2021-10-18
Valentina González,Ingeniería,36642,2020-07-22
Ana Pérez,Recursos Humanos,54390,2015-06-30
Carlos Torres,Operaciones,45624,2021-01-08
Martín Martínez,Recursos Humanos,91611,2019-02-21
Lucas Pérez,Marketing,90105,2016-10-10
Gabriel Sánchez,Legal,43527,2022-07-07
Mateo Pérez,Data,106893,2024-01-03
Diego Ramírez,Finanzas,74022,2016-08-28
Lucas Martínez,Data,38643,2019-09-22
Juan González,Ventas,34293,2022-01-01
Ana García,Finanzas,62204,2017-01-20
Sofía González,Legal,471949,2018-06-03
Mateo García,Product,83432,2020-08-18
Ana Pérez,Marketing,73839,2022-10-09
Lucas González,Product,46474,2023-12-08
Pedro Rodríguez,Ingeniería,26497,2016-07-26
Sofía Martínez,Legal,115071,2023-10-14
Lucas Pérez,Data,51592,2018-11-22
Juan Ramírez,Legal,97989,2024-03-21
Laura Torres,Product,90391,2019-02-10
Lucía Rodríguez,Ventas,67745,2016-10-27
Gabriel Torres,Product,51783,2019-06-25
Camila Ramírez,Recursos Humanos,52898,2015-12-10
Martín López,Operaciones,52852,2020-06-07
María Martínez,Operaciones,90135,2019-01-30
María López,Legal,50719,2018-05-31
Juan Ramírez,Operaciones,128898,2018-03-18
Lucía Martínez,Legal,116023,2019-08-25
Carlos Pérez,Ingeniería,42711,2018-01-12
Lucas López,Ingeniería,37873,2024-04-26
Pedro García,Operaciones,50590,2016-08-18
Lucas López,Ventas,58115,2022-09-05
María López,Finanzas,83973,2021-07-11
Martín Ramírez,Recursos Humanos,50967,2020-12-31
Sofía Sánchez,Operaciones,119692,2015-04-09
María González,Marketing,86173,2020-01-24
Juan Fernández,Data,46423,2015-12-10
Laura Rodríguez,Soporte,103914,2019-06-20
Gabriel López,Product,56032,2020-11-16
Valentina Martínez,Data,36649,2016-03-17
Laura Torres,Legal,50845,2023-07-27
Gabriel Fernández,Finanzas,46868,2022-12-01
Juan Fernández,Ingeniería,47327,2022-10-27
Pedro Fernández,Ingeniería,121007,2023-08-08
Carlos López,Legal,88249,2017-11-18
Mateo García,Operaciones,116062,2019-08-08
Martín Ramírez,Product,91600,2016-11-15
Valentina Torres,Recursos Humanos,129736,2019-01-19
Gabriel González,Operaciones,61843,2022-03-18
Carlos Martínez,Finanzas,118129,2019-03-02
Diego Sánchez,Ingeniería,137617,2017-08-14
Camila Torres,Operaciones,63664,2018-08-05
Martín García,Ingeniería,52990,2022-04-14
Diego García,Ventas,64911,2018-01-18
Lucas Torres,Legal,43344,2015-04-30
Mateo Pérez,Ventas,226257,2020-01-20
Sofía Sánchez,Finanzas,437773,2022-12-12
Lucía Rodríguez,Ingeniería,90384,2020-07-29
Sofía Fernández,Ventas,48770,2021-06-01
Lucía Pérez,Legal,75594,2017-05-23
Laura Sánchez,Product,85614,2024-02-29
Laura García,Finanzas,66632,2023-11-08
Pedro García,Ingeniería,122778,2019-07-22
Juan López,Marketing,25236,2017-10-13
Diego Ramírez,Ingeniería,65360,2018-06-29
Gabriel Torres,Finanzas,87536,2015-07-01
Lucía Pérez,Ventas,35270,2020-09-12
Lucas Fernández,Recursos Humanos,77863,2022-04-27
Sofía Rodríguez,Product,68664,2015-09-19
Sofía Ramírez,Marketing,80190,2015-08-30
Juan Ramírez,Marketing,99205,2015-05-08
Pedro Torres,Recursos Humanos,47205,2015-08-20
Lucas Sánchez,Marketing,36242,2020-10-20
Lucas Pérez,Product,52537,2015-01-31
Lucas López,Ingeniería,93835,2023-03-17
Sofía Pérez,Marketing,130300,2021-09-14
Valentina Ramírez,Ventas,30603,2018-04-02
Ana Fernández,Ventas,128699,2015-09-12
Mateo Torres,Marketing,43236,2022-06-18
María Ramírez,Marketing,69024,2021-02-10
Pedro Fernández,Data,63449,2018-08-12
María Torres,Legal,109997,2020-10-08
Laura González,Data,53846,2023-03-09
María Torres,Marketing,176598,2020-03-17
Lucas Martínez,Ingeniería,42089,2018-01-25
Lucía Sánchez,Soporte,57274,2015-04-04
Carlos García,Marketing,69081,2017-01-06
Laura Torres,Operaciones,94029,2017-12-15
Valentina Martínez,Finanzas,47083,2018-05-10
Martín Fernández,Soporte,53945,2023-07-25
María Sánchez,Legal,95769,2015-05-31
Laura Torres,Soporte,69741,2020-10-07
Sofía Sánchez,Ventas,94360,2018-02-08
Gabriel Torres,Legal,49370,2019-08-25
Laura González,Data,52813,2022-02-16
María Torres,Soporte,131657,2017-01-16
Lucas Ramírez,Soporte,39513,2024-04-11
María Martínez,Recursos Humanos,133718,2015-03-29
Valentina Sánchez,Ingeniería,49940,2017-02-22
Sofía González,Legal,101241,2021-03-03
Sofía García,Product,111148,2015-05-13
Diego González,Operaciones,42345,2018-11-14
Lucía López,Ingeniería,68365,2016-06-12
Diego González,Recursos Humanos,115707,2016-08-26
Lucas Fernández,Finanzas,87773,2018-11-29
Martín Martínez,Data,236603,2024-02-01
Sofía Sánchez,Ventas,60757,2017-03-22
María González,Legal,88169,2018-07-19
Sofía Rodríguez,Ventas,107294,2016-01-13
Diego Pérez,Soporte,61319,2018-02-18
Lucas García,Legal,37328,2018-03-28
Valentina López,Soporte,75135,2018-11-04
Camila Ramírez,Operaciones,45444,2018-04-25
Gabriel González,Data,84460,2016-06-27
Mateo López,Soporte,35204,2017-03-07
Pedro Torres,Ventas,44544,2020-12-02
Diego Torres,Marketing,108096,2016-09-09
Diego Torres,Legal,92308,2024-03-30
Mateo González,Finanzas,56449,2021-05-03
Valentina Fernández,Ventas,43814,2021-11-29
Martín García,Operaciones,300820,2016-08-13
Ana Rodríguez,Recursos Humanos,51181,2022-11-26
Sofía García,Operaciones,87573,2020-03-21
Valentina Pérez,Legal,41171,2020-10-18
Ana Sánchez,Ingeniería,44684,2021-05-14
Lucas Sánchez,Product,321057,2015-02-04
Laura Martínez,Data,77701,2021-09-08
Pedro Fernández,Data,450395,2015-11-01
Diego Fernández,Finanzas,57793,2024-03-01
Camila López,Marketing,40269,2021-06-11
Diego Fernández,Ventas,60309,2017-08-25
María López,Product,95018,2020-11-11
Valentina Sánchez,Operaciones,201008,2023-09-20
Pedro Sánchez,Finanzas,33831,2022-12-13
Valentina Pérez,Marketing,59710,2024-05-25
Valentina García,Soporte,42468,2024-05-13
Martín López,Marketing,98295,2019-08-18
Carlos González,Soporte,56919,2024-02-27
Carlos Martínez,Legal,96853,2020-03-13
Mateo Pérez,Ventas,425466,2021-06-27
Camila Sánchez,Ventas,260998,2023-06-03
Mateo García,Legal,73367,2017-03-09
Mateo Ramírez,Marketing,63264,2016-07-08
Lucas Martínez,Marketing,93185,2022-02-27
Laura Rodríguez,Recursos Humanos,51150,2019-07-07
Carlos Martínez,Operaciones,46108,2023-07-19
Martín Torres,Operaciones,113339,2023-06-05
Diego Rodríguez,Data,30220,2021-06-02
Lucía Torres,Finanzas,496439,2019-10-03
Juan Sánchez,Data,44103,2023-12-21
Laura Fernández,Ventas,302097,2015-09-01
Juan García,Ventas,38162,2019-10-21
Laura Pérez,Product,70401,2018-11-23
Ana Rodríguez,Recursos Humanos,40790,2022-04-13
Sofía Pérez,Finanzas,71190,2021-08-15
Lucas Pérez,Recursos Humanos,173865,2022-03-31
Ana González,Recursos Humanos,81958,2016-07-02
Pedro Pérez,Marketing,133602,2024-02-07
Valentina González,Finanzas,39087,2018-09-13
María Martínez,Legal,89843,2017-05-03
Martín García,Ventas,53055,2015-01-24
María Ramírez,Product,157653,2020-03-12
Juan Fernández,Legal,42304,2023-07-29
Pedro Torres,Marketing,100147,2018-09-13
Ana Ramírez,Finanzas,43749,2022-11-30
Laura Martínez,Ventas,179043,2021-11-25
Pedro González,Product,99934,2018-02-11
Valentina Torres,Marketing,35992,2021-06-01
Valentina Pérez,Marketing,105196,2018-11-17
Gabriel Rodríguez,Operaciones,52607,2017-01-25
Sofía Martínez,Operaciones,82658,2015-12-19
Pedro López,Operaciones,40735,2017-12-26
Gabriel Ramírez,Ventas,96978,2021-02-28
Ana Ramírez,Ingeniería,115562,2015-11-24
Pedro Ramírez,Marketing,101688,2024-02-13
Gabriel Torres,Legal,158678,2019-10-30
Lucía Torres,Finanzas,47181,2022-10-31
Diego Pérez,Soporte,61764,2022-04-03
Martín García,Ingeniería,113375,2015-08-02
Lucas González,Data,35994,2020-12-12
Valentina Sánchez,Operaciones,73452,2020-10-26
Mateo Fernández,Data,67023,2022-05-02
Diego Torres,Operaciones,45428,2020-03-28
Martín Fernández,Data,153711,2016-03-13
Martín García,Finanzas,69979,2023-04-23
Lucía Pérez,Soporte,85918,2019-02-12
Valentina González,Legal,83749,2023-07-04
Valentina González,Product,39325,2022-12-02
Juan Ramírez,Finanzas,87118,2021-07-08
Valentina Torres,Ventas,76679,2023-05-09
Laura Pérez,Product,452717,2018-03-15
Camila Fernández,Finanzas,77018,2016-10-31
María Ramírez,Marketing,69141,2017-05-23
María Pérez,Legal,53476,2022-07-18
Lucía Rodríguez,Ventas,65533,2022-03-31
Valentina Pérez,Legal,125782,2019-03-21
Gabriel Pérez,Soporte,91473,2019-09-19
Lucía Rodríguez,Data,46292,2016-04-23
Diego Fernández,Finanzas,46261,2017-04-18
Juan Pérez,Recursos Humanos,151212,2021-02-15
Gabriel Pérez,Marketing,127272,2016-02-12
Juan Martínez,Ingeniería,88800,2017-03-07
Sofía Fernández,Product,51933,2018-07-01
Lucía Martínez,Ventas,105227,2017-09-30
Juan Martínez,Product,39681,2016-02-07
Gabriel Ramírez,Data,47937,2018-06-02
Ana López,Operaciones,125939,2017-02-28
Valentina López,Ingeniería,112243,2016-07-23
Camila Rodríguez,Recursos Humanos,41282,2022-03-22
Lucas Pérez,Product,233803,2023-01-14
Ana García,Legal,40571,2023-01-02
Pedro Sánchez,Operaciones,55834,2017-05-19
Martín Ramírez,Legal,70819,2020-12-07
Valentina Ramírez,Legal,45450,2018-06-10
Lucas Ramírez,Marketing,61232,2017-01-06
Mateo González,Legal,37235,2015-04-06
Sofía López,Recursos Humanos,44651,2020-02-13
Lucía Torres,Data,41461,2021-08-04
Laura Pérez,Data,60548,2020-03-30
Mateo Torres,Data,54950,2019-07-22
Carlos García,Recursos Humanos,43646,2022-02-12
Mateo Martínez,Ventas,112973,2016-06-01
Juan Pérez,Ventas,40887,2024-04-25
Carlos Fernández,Operaciones,48564,2017-09-02
Ana González,Finanzas,60297,2016-07-27
Valentina Pérez,Data,102315,2018-05-30
Lucas González,Operaciones,97995,2015-06-11
Camila Fernández,Finanzas,102458,2015-10-21
Camila González,Finanzas,121941,2021-01-05
Carlos Pérez,Operaciones,60050,2020-07-13
Lucas López,Marketing,43386,2016-06-26
María Sánchez,Marketing,71295,2022-07-13
Mateo Ramírez,Legal,86608,2021-05-17
Lucas Fernández,Data,54809,2016-03-12
Laura Rodríguez,Marketing,117742,2020-04-05
Juan López,Legal,37819,2018-01-23
Ana Ramírez,Legal,26795,2018-03-27
Gabriel Rodríguez,Ingeniería,100978,2016-08-12
Camila Ramírez,Product,45755,2023-02-21
Pedro Fernández,Operaciones,45113,2021-10-04
María Martínez,Ingeniería,25410,2024-01-29
Laura González,Soporte,92524,2020-04-20
Diego Sánchez,Soporte,48313,2023-01-08
Sofía Fernández,Ingeniería,133917,2022-10-03
Diego Torres,Operaciones,36961,2024-02-12
Mateo Fernández,Ventas,43126,2019-02-08
Laura Ramírez,Finanzas,46558,2024-04-23
María Ramírez,Finanzas,35566,2020-12-06
María Torres,Recursos Humanos,103463,2018-10-07
María Martínez,Ingeniería,139388,2021-11-02
Gabriel Fernández,Ingeniería,41397,2018-12-20
